Question;Answer;
What does Jihad mean?;The Arabic term jihad literally means “striving.” Jihad is often mistranslated as “holy war.” While the word can refer to military action against an aggressor, this is by no means the only meaning of the term. Traditionally, Muslim sources distinguish between the “greater” and the “lesser” jihad. The “greater jihad” is described by Muslim scholars as an internal struggle to avoid negative actions and cultivate good character. The “lesser jihad” is the external striving for justice, in selfdefense or against oppression. One can do this in one’s heart, with one’s tongue or pen, and, if these are ineffective, by forcibly trying to change an oppressive situation;
 What does Jihad mean according to Islam? ;The Arabic term jihad literally means “striving.” Jihad is often mistranslated as “holy war.” While the word can refer to military action against an aggressor, this is by no means the only meaning of the term. Traditionally, Muslim sources distinguish between the “greater” and the “lesser” jihad. The “greater jihad” is described by Muslim scholars as an internal struggle to avoid negative actions and cultivate good character. The “lesser jihad” is the external striving for justice, in selfdefense or against oppression. One can do this in one’s heart, with one’s tongue or pen, and, if these are ineffective, by forcibly trying to change an oppressive situation;
Explain the meaning of jihad according to Islam ?;The Arabic term jihad literally means “striving.” Jihad is often mistranslated as “holy war.” While the word can refer to military action against an aggressor, this is by no means the only meaning of the term. Traditionally, Muslim sources distinguish between the “greater” and the “lesser” jihad. The “greater jihad” is described by Muslim scholars as an internal struggle to avoid negative actions and cultivate good character. The “lesser jihad” is the external striving for justice, in selfdefense or against oppression. One can do this in one’s heart, with one’s tongue or pen, and, if these are ineffective, by forcibly trying to change an oppressive situation;
 What is the meaning of jihad?;The Arabic term jihad literally means “striving.” Jihad is often mistranslated as “holy war.” While the word can refer to military action against an aggressor, this is by no means the only meaning of the term. Traditionally, Muslim sources distinguish between the “greater” and the “lesser” jihad. The “greater jihad” is described by Muslim scholars as an internal struggle to avoid negative actions and cultivate good character. The “lesser jihad” is the external striving for justice, in selfdefense or against oppression. One can do this in one’s heart, with one’s tongue or pen, and, if these are ineffective, by forcibly trying to change an oppressive situation;
why it is forbidden to eat pork in Islam ?  ;Because the Quran forbids the practice, a dietary restriction also followed by observant Jews;
 why eating pork is not allowable in Islam ?;Because the Quran forbids the practice, a dietary restriction also followed by observant Jews;
why eating pork is prohibited in islam?;Because the Quran forbids the practice, a dietary restriction also followed by observant Jews;
why is Islam forbids eating pork ?;Because the Quran forbids the practice, a dietary restriction also followed by observant Jews;
why is Islam prohibits to eat pork ?;Because the Quran forbids the practice, a dietary restriction also followed by observant Jews;
  why eating pork is not allowable for Muslims ;Because the Quran forbids the practice, a dietary restriction also followed by observant Jews;
why it is forbidden to drink alcoholic beverages?;Because the Quran forbids the practice. The Quran states that while alcohol has some benefits, its harm outweighs its benefits. This prohibition is similar to Buddhist teachings;
why drinking alcohol is not allowable in Islam ?;Because the Quran forbids the practice. The Quran states that while alcohol has some benefits, its harm outweighs its benefits. This prohibition is similar to Buddhist teachings;
why alcoholic beverages is prohibited in islam?;Because the Quran forbids the practice. The Quran states that while alcohol has some benefits, its harm outweighs its benefits. This prohibition is similar to Buddhist teachings;
why is Islam forbids drinking alcohol  ?;Because the Quran forbids the practice. The Quran states that while alcohol has some benefits, its harm outweighs its benefits. This prohibition is similar to Buddhist teachings;
 why is Islam prohibits drinking alcohol ?;Because the Quran forbids the practice. The Quran states that while alcohol has some benefits, its harm outweighs its benefits. This prohibition is similar to Buddhist teachings;
why it is not allowable for Muslims to drink alcohol;Because the Quran forbids the practice. The Quran states that while alcohol has some benefits, its harm outweighs its benefits. This prohibition is similar to Buddhist teachings;
What does halal mean?;Halal is an Arabic word meaning lawful or permitted. The opposite of halal is haram, which means unlawful or prohibited. While the term is used in relation to many aspects of life, when specifically used in relationship to food, halal refers to any food product that is not prohibited. In reference to meat products, halal means that the animal was slaughtered according to Islamic guidelines, which include reciting God’s name over the animal before slaughter and draining all the blood from the animal. This practice is similar to the guidelines set by Jewish law that classify meat prepared in this manner as kosher.;
What does halal mean according to Islam? ;Halal is an Arabic word meaning lawful or permitted. The opposite of halal is haram, which means unlawful or prohibited. While the term is used in relation to many aspects of life, when specifically used in relationship to food, halal refers to any food product that is not prohibited. In reference to meat products, halal means that the animal was slaughtered according to Islamic guidelines, which include reciting God’s name over the animal before slaughter and draining all the blood from the animal. This practice is similar to the guidelines set by Jewish law that classify meat prepared in this manner as kosher.;
 Explain the meaning of halal according to Islam ? ;Halal is an Arabic word meaning lawful or permitted. The opposite of halal is haram, which means unlawful or prohibited. While the term is used in relation to many aspects of life, when specifically used in relationship to food, halal refers to any food product that is not prohibited. In reference to meat products, halal means that the animal was slaughtered according to Islamic guidelines, which include reciting God’s name over the animal before slaughter and draining all the blood from the animal. This practice is similar to the guidelines set by Jewish law that classify meat prepared in this manner as kosher.;
What is the meaning of halal ?;Halal is an Arabic word meaning lawful or permitted. The opposite of halal is haram, which means unlawful or prohibited. While the term is used in relation to many aspects of life, when specifically used in relationship to food, halal refers to any food product that is not prohibited. In reference to meat products, halal means that the animal was slaughtered according to Islamic guidelines, which include reciting God’s name over the animal before slaughter and draining all the blood from the animal. This practice is similar to the guidelines set by Jewish law that classify meat prepared in this manner as kosher.;
 what is meant by halal ?;Halal is an Arabic word meaning lawful or permitted. The opposite of halal is haram, which means unlawful or prohibited. While the term is used in relation to many aspects of life, when specifically used in relationship to food, halal refers to any food product that is not prohibited. In reference to meat products, halal means that the animal was slaughtered according to Islamic guidelines, which include reciting God’s name over the animal before slaughter and draining all the blood from the animal. This practice is similar to the guidelines set by Jewish law that classify meat prepared in this manner as kosher.;
does Islam reference to scientific phenomena, explain how ? ;There are numerous verses in the Quran that reference scientific phenomena, including discussions of astronomy, geography, biology, and other aspects of nature and the universe. The Quran includes, for instance, a detailed description of the different stages that the embryo goes through in the womb, as well as descriptions of the creation of the earth and of the interaction between fresh and salt water. These repeated Quranic references to nature and injunctions to seek knowledge helped create a fruitful environment for science in Islamic history when during the “Golden Age of Islam” in the Middle Ages, Muslims were in the forefront of such fields as mathematics, astronomy, physics, chemistry, botany, zoology, and medicine. Unfortunately, the economic and political decline of the Muslim world in later centuries brought about a decline in scientific and technological endeavor until recent decades. However, today, many American Muslims and Muslims worldwide work in science-based professions such as medicine, dentistry, and various fields of engineering, and many are leaders in their fields.;
What is the opinion of Islam about science ?;There are numerous verses in the Quran that reference scientific phenomena, including discussions of astronomy, geography, biology, and other aspects of nature and the universe. The Quran includes, for instance, a detailed description of the different stages that the embryo goes through in the womb, as well as descriptions of the creation of the earth and of the interaction between fresh and salt water. These repeated Quranic references to nature and injunctions to seek knowledge helped create a fruitful environment for science in Islamic history when during the “Golden Age of Islam” in the Middle Ages, Muslims were in the forefront of such fields as mathematics, astronomy, physics, chemistry, botany, zoology, and medicine. Unfortunately, the economic and political decline of the Muslim world in later centuries brought about a decline in scientific and technological endeavor until recent decades. However, today, many American Muslims and Muslims worldwide work in science-based professions such as medicine, dentistry, and various fields of engineering, and many are leaders in their fields.;
How did Islam discuss science ?;There are numerous verses in the Quran that reference scientific phenomena, including discussions of astronomy, geography, biology, and other aspects of nature and the universe. The Quran includes, for instance, a detailed description of the different stages that the embryo goes through in the womb, as well as descriptions of the creation of the earth and of the interaction between fresh and salt water. These repeated Quranic references to nature and injunctions to seek knowledge helped create a fruitful environment for science in Islamic history when during the “Golden Age of Islam” in the Middle Ages, Muslims were in the forefront of such fields as mathematics, astronomy, physics, chemistry, botany, zoology, and medicine. Unfortunately, the economic and political decline of the Muslim world in later centuries brought about a decline in scientific and technological endeavor until recent decades. However, today, many American Muslims and Muslims worldwide work in science-based professions such as medicine, dentistry, and various fields of engineering, and many are leaders in their fields.;
What is Islam view about science ?;There are numerous verses in the Quran that reference scientific phenomena, including discussions of astronomy, geography, biology, and other aspects of nature and the universe. The Quran includes, for instance, a detailed description of the different stages that the embryo goes through in the womb, as well as descriptions of the creation of the earth and of the interaction between fresh and salt water. These repeated Quranic references to nature and injunctions to seek knowledge helped create a fruitful environment for science in Islamic history when during the “Golden Age of Islam” in the Middle Ages, Muslims were in the forefront of such fields as mathematics, astronomy, physics, chemistry, botany, zoology, and medicine. Unfortunately, the economic and political decline of the Muslim world in later centuries brought about a decline in scientific and technological endeavor until recent decades. However, today, many American Muslims and Muslims worldwide work in science-based professions such as medicine, dentistry, and various fields of engineering, and many are leaders in their fields.;
Does islam care about the science ?and how?;There are numerous verses in the Quran that reference scientific phenomena, including discussions of astronomy, geography, biology, and other aspects of nature and the universe. The Quran includes, for instance, a detailed description of the different stages that the embryo goes through in the womb, as well as descriptions of the creation of the earth and of the interaction between fresh and salt water. These repeated Quranic references to nature and injunctions to seek knowledge helped create a fruitful environment for science in Islamic history when during the “Golden Age of Islam” in the Middle Ages, Muslims were in the forefront of such fields as mathematics, astronomy, physics, chemistry, botany, zoology, and medicine. Unfortunately, the economic and political decline of the Muslim world in later centuries brought about a decline in scientific and technological endeavor until recent decades. However, today, many American Muslims and Muslims worldwide work in science-based professions such as medicine, dentistry, and various fields of engineering, and many are leaders in their fields.;
Does islam concern about the science ?and how?;There are numerous verses in the Quran that reference scientific phenomena, including discussions of astronomy, geography, biology, and other aspects of nature and the universe. The Quran includes, for instance, a detailed description of the different stages that the embryo goes through in the womb, as well as descriptions of the creation of the earth and of the interaction between fresh and salt water. These repeated Quranic references to nature and injunctions to seek knowledge helped create a fruitful environment for science in Islamic history when during the “Golden Age of Islam” in the Middle Ages, Muslims were in the forefront of such fields as mathematics, astronomy, physics, chemistry, botany, zoology, and medicine. Unfortunately, the economic and political decline of the Muslim world in later centuries brought about a decline in scientific and technological endeavor until recent decades. However, today, many American Muslims and Muslims worldwide work in science-based professions such as medicine, dentistry, and various fields of engineering, and many are leaders in their fields.;
can I break my fasting if I am sick ?;Fasting is decreed for God’s believers [1], however, God does not wish to make the religion difficult for us [2] .  An individual is authorized to modify their fast if it becomes a hardship.  If one is ill or traveling, an equal number of other days may be substituted. Other modification choices for those who can fast, but with great difficulty,  they may substitute feeding one poor person for each day of breaking the fast.  Additional righteous works are also accepted.  But God does state that fasting is the best for us  [3].  Thus, if you have the flu and it is a hardship on you to fast, you are permitted to modify your Ramadan fast  [4]. Relevant Quran Verses:  [1] 2:183,  [2]  2:185, 5:6,  [3] 2:184-185,  [4] 2:183-187;
can I break my fasting if I am sick ?  What are the rules for fasting and breaking the fast ?;Fasting is decreed for God’s believers [1], however, God does not wish to make the religion difficult for us [2] .  An individual is authorized to modify their fast if it becomes a hardship.  If one is ill or traveling, an equal number of other days may be substituted. Other modification choices for those who can fast, but with great difficulty,  they may substitute feeding one poor person for each day of breaking the fast.  Additional righteous works are also accepted.  But God does state that fasting is the best for us  [3].  Thus, if you have the flu and it is a hardship on you to fast, you are permitted to modify your Ramadan fast  [4]. Relevant Quran Verses:  [1] 2:183,  [2]  2:185, 5:6,  [3] 2:184-185,  [4] 2:183-187;
Are there any signs indicate the coming Day of Judgment?  ;Specific signs leading up to the Day of Judgment can be found in the Quran [1]. The telltale markers are: The moon will split [2], this happened already in 1969.  The Quran’s 19-based Math code will be revealed [3], this happened in 1969-1974. The Creature made from the earth will appear [4], this happened already. The appearance of God’s Messenger of the Covenant [5], this already happened. The Smoke appears after God’s Messenger of the Covenant [6].  And the last sign mentioned in the Quran is that God and Magog will reappear [7], this is yet to happen. Relevant Quran Verses: [1] Appendix 25 of translation by R. Khalifa, 47:18,  [2] 54:1,  [3] 74:30-37, Appendix 1 of translation by R. Khalifa,  [4] 27:82, [5] 3:81, Appendix 2 of translation by R. Khalifa,  [6] 44:10-15,  [7] 21:96.;
What are the signs indicate that the Day of Judgment is coming ?;Specific signs leading up to the Day of Judgment can be found in the Quran [1]. The telltale markers are: The moon will split [2], this happened already in 1969.  The Quran’s 19-based Math code will be revealed [3], this happened in 1969-1974. The Creature made from the earth will appear [4], this happened already. The appearance of God’s Messenger of the Covenant [5], this already happened. The Smoke appears after God’s Messenger of the Covenant [6].  And the last sign mentioned in the Quran is that God and Magog will reappear [7], this is yet to happen. Relevant Quran Verses: [1] Appendix 25 of translation by R. Khalifa, 47:18,  [2] 54:1,  [3] 74:30-37, Appendix 1 of translation by R. Khalifa,  [4] 27:82, [5] 3:81, Appendix 2 of translation by R. Khalifa,  [6] 44:10-15,  [7] 21:96.;
What are the signs that indicate the coming of the Day of Judgment?;Specific signs leading up to the Day of Judgment can be found in the Quran [1]. The telltale markers are: The moon will split [2], this happened already in 1969.  The Quran’s 19-based Math code will be revealed [3], this happened in 1969-1974. The Creature made from the earth will appear [4], this happened already. The appearance of God’s Messenger of the Covenant [5], this already happened. The Smoke appears after God’s Messenger of the Covenant [6].  And the last sign mentioned in the Quran is that God and Magog will reappear [7], this is yet to happen. Relevant Quran Verses: [1] Appendix 25 of translation by R. Khalifa, 47:18,  [2] 54:1,  [3] 74:30-37, Appendix 1 of translation by R. Khalifa,  [4] 27:82, [5] 3:81, Appendix 2 of translation by R. Khalifa,  [6] 44:10-15,  [7] 21:96.;
are there any signs that indicate the coming Day of Judgment? Mention them;Specific signs leading up to the Day of Judgment can be found in the Quran [1]. The telltale markers are: The moon will split [2], this happened already in 1969.  The Quran’s 19-based Math code will be revealed [3], this happened in 1969-1974. The Creature made from the earth will appear [4], this happened already. The appearance of God’s Messenger of the Covenant [5], this already happened. The Smoke appears after God’s Messenger of the Covenant [6].  And the last sign mentioned in the Quran is that God and Magog will reappear [7], this is yet to happen. Relevant Quran Verses: [1] Appendix 25 of translation by R. Khalifa, 47:18,  [2] 54:1,  [3] 74:30-37, Appendix 1 of translation by R. Khalifa,  [4] 27:82, [5] 3:81, Appendix 2 of translation by R. Khalifa,  [6] 44:10-15,  [7] 21:96.;
do you think that Muhammad ( peace be upon him )  was the last prophet of Allah ? ;We believe everything the Quran states. Per verse 33:40 Muhammad was the last prophet of God [1].Relevant Quran Verses:  [1] 33:40 ;
Is it true that Muhammad ( peace be upon him )  was the last prophet of Allah?;We believe everything the Quran states. Per verse 33:40 Muhammad was the last prophet of God [1].Relevant Quran Verses:  [1] 33:40 ;
Is the Prophet Muhammad considered as the last prophet  ?;We believe everything the Quran states. Per verse 33:40 Muhammad was the last prophet of God [1].Relevant Quran Verses:  [1] 33:40 ;
Do Muslims believe in Purgatory ?  ;Yes, Muslims believe in Purgatory.  We believe that on Judgment Day, all human that passed through this Earth will be brought to stand judgment and subsequently will be stratified into one of four places.  Initially, there will be 4 places: the High Heaven, the Lower Heaven, the Purgatory, and Hell [2].  God will annex the Purgatory into the Lower Heaven.  Thus, the residents of Purgatory will move out of the limbo of the Purgatory and into the lower part of Heaven [3]. [4]. Relevant Quran Verses: [1]  1:4,  39:68-70,  [2] 7:46-48,  [3]  7:49, [4] Appendix 11 of the Quran translation by R. Khalifa. ;
Do Muslims believe in torment? ;Yes, Muslims believe in Purgatory.  We believe that on Judgment Day, all human that passed through this Earth will be brought to stand judgment and subsequently will be stratified into one of four places.  Initially, there will be 4 places: the High Heaven, the Lower Heaven, the Purgatory, and Hell [2].  God will annex the Purgatory into the Lower Heaven.  Thus, the residents of Purgatory will move out of the limbo of the Purgatory and into the lower part of Heaven [3]. [4]. Relevant Quran Verses: [1]  1:4,  39:68-70,  [2] 7:46-48,  [3]  7:49, [4] Appendix 11 of the Quran translation by R. Khalifa. ;
Do Muslims believe in the torment of the Hereafter?;Yes, Muslims believe in Purgatory.  We believe that on Judgment Day, all human that passed through this Earth will be brought to stand judgment and subsequently will be stratified into one of four places.  Initially, there will be 4 places: the High Heaven, the Lower Heaven, the Purgatory, and Hell [2].  God will annex the Purgatory into the Lower Heaven.  Thus, the residents of Purgatory will move out of the limbo of the Purgatory and into the lower part of Heaven [3]. [4]. Relevant Quran Verses: [1]  1:4,  39:68-70,  [2] 7:46-48,  [3]  7:49, [4] Appendix 11 of the Quran translation by R. Khalifa. ;
Do Muslims believe that there is Purgatory?;Yes, Muslims believe in Purgatory.  We believe that on Judgment Day, all human that passed through this Earth will be brought to stand judgment and subsequently will be stratified into one of four places.  Initially, there will be 4 places: the High Heaven, the Lower Heaven, the Purgatory, and Hell [2].  God will annex the Purgatory into the Lower Heaven.  Thus, the residents of Purgatory will move out of the limbo of the Purgatory and into the lower part of Heaven [3]. [4]. Relevant Quran Verses: [1]  1:4,  39:68-70,  [2] 7:46-48,  [3]  7:49, [4] Appendix 11 of the Quran translation by R. Khalifa. ;
what will happen for couples in the life hereafter? do they remain together? ;God tells us in the Quran that we are allowed to enter paradise with the righteous among our families, including our spouses [1].  Those who are fortunate enough to make it to heaven will be given new spouses in hereafter [2].  God also tells us in the Quran that we will be able to remember people and events from our previous lives [3].  The dwellers of heaven will even be able to speak to the dwellers of hell if they choose [4]. Relevant Quran Verses:  [1] 13:23, 43:70, [2] 55:56, 55:72, [3] 13:23, 36:26-27, [4] 7:44-50, 74:40-47;
What will happen to couples in the hereafter life? Do they stay together?;God tells us in the Quran that we are allowed to enter paradise with the righteous among our families, including our spouses [1].  Those who are fortunate enough to make it to heaven will be given new spouses in hereafter [2].  God also tells us in the Quran that we will be able to remember people and events from our previous lives [3].  The dwellers of heaven will even be able to speak to the dwellers of hell if they choose [4]. Relevant Quran Verses:  [1] 13:23, 43:70, [2] 55:56, 55:72, [3] 13:23, 36:26-27, [4] 7:44-50, 74:40-47;
 Do couples stay together in the afterlife, or do they forget each other? ;God tells us in the Quran that we are allowed to enter paradise with the righteous among our families, including our spouses [1].  Those who are fortunate enough to make it to heaven will be given new spouses in hereafter [2].  God also tells us in the Quran that we will be able to remember people and events from our previous lives [3].  The dwellers of heaven will even be able to speak to the dwellers of hell if they choose [4]. Relevant Quran Verses:  [1] 13:23, 43:70, [2] 55:56, 55:72, [3] 13:23, 36:26-27, [4] 7:44-50, 74:40-47;
does Islam  allow to be gay ? ;The Quran forbids homosexual behavior and describes it as an abomination [1].  Other behaviors described as an abomination are consumption of intoxicants, gambling, and failing to pronounce God’s name upon our food before we eat [2].  We all have predispositions toward certain behaviors and it is up to each of us to seek God’s guidance to help us maintain righteousness [3].  We should always remember that God never burdens a soul with more than it can bear [4]. Relevant Quran Verses: [1] 7:80-81, 27:54, 29:28, [2] 5:90, 6:121, [3] 2:120, 3:73, 6:71, 6:81, [4] 23:62;
Is it allowed in Islam to be gay ?;The Quran forbids homosexual behavior and describes it as an abomination [1].  Other behaviors described as an abomination are consumption of intoxicants, gambling, and failing to pronounce God’s name upon our food before we eat [2].  We all have predispositions toward certain behaviors and it is up to each of us to seek God’s guidance to help us maintain righteousness [3].  We should always remember that God never burdens a soul with more than it can bear [4]. Relevant Quran Verses: [1] 7:80-81, 27:54, 29:28, [2] 5:90, 6:121, [3] 2:120, 3:73, 6:71, 6:81, [4] 23:62;
What is the Night of Power that mentioned in Quran ?;In the Quran, Sura 97 Destiny says the following: …The Night of Destiny is better than a thousand months, The angels and the Spirit descend therein, by their Lord's leave, to carry out every command, Peaceful it is until the advent of the dawn [1].  The verses are self-explanatory, it is evident that the angels and the Spirit did not just descend on one occasion. Rashad Khalifa, the translator of these Quran verses, had led the believers in commemoration of God every year on that 27th night of Ramadan.  In addition, the Night of Power falls within the last ten days.  God swears by the last ten days and sets them aside as special for commemoration [2].  We believe the Night of Destiny is reoccurring, and we strongly disagree with discouraging anyone from spending extra effort commemorating God. Relevant Quran Verses:  [1] 97:0-5,  [2] 89:2, 2:187 ;
What is the Islamic view on the theory of evolution ?;There is not one answer to this as it depends on who one talks to. Some Muslims accept the theory of evolution in its entirety. Others accept the basic concept of evolution, that living beings evolve via genetic change through mutation and natural selection, but do not include human beings in this process. They cite the Quran’s: What are Islam’s view of the environment and the importance of protecting it ? Description of the creation of Adam and Eve as the first human beings as contrary to the idea that human beings evolved from more primitive primates. There are hundreds of verses throughout the Quran that describe the wonders of creation and nature and call upon humankind to reflect on them as signs of God. Humans are described as stewards over this earth (as is the case in Jewish and Christian scripture ) , entrusted with its oversight. There are also numerous Quranic as well as prophetic injunctions to avoid waste, excess, and harm to other forms of creation. A prophetic saying forbids wasting water, even when washing in a river. Living a balanced, moderate lifestyle is an important Islamic principle advocated by most Muslim scholars that applies to all aspects of life, including care of the earth and all of creation;
What can I ask of Allah ?;Anything, but don't ask Him to do things like make you a prophet because He has already said that there will be no more prophets. You can ask Allah for guidance, meaning you can ask Him to show you the correct religion;
What are the things that I can ask Allah for?;Anything, but don't ask Him to do things like make you a prophet because He has already said that there will be no more prophets. You can ask Allah for guidance, meaning you can ask Him to show you the correct religion;
can i ask Allah about any things ? what are things that i can ask Allah for;Anything, but don't ask Him to do things like make you a prophet because He has already said that there will be no more prophets. You can ask Allah for guidance, meaning you can ask Him to show you the correct religion;
What is the Quran?;The Quran is a record of the exact words revealed by God through the Angel Gabriel to the Prophet Muhammad (peace be upon him ) . It was memorized by Muhammad (peace be upon him )  and then dictated to his companions, and written down by scribes, who crosschecked it during his lifetime. Not one word of its 114 Surahs, has been changed over the centuries, so that the Quran is in every detail the unique and miraculous text which was revealed to Muhammad (peace be upon him )  fourteen centuries ago;
 What is the holy Quran?;The Quran is a record of the exact words revealed by God through the Angel Gabriel to the Prophet Muhammad (peace be upon him ) . It was memorized by Muhammad (peace be upon him )  and then dictated to his companions, and written down by scribes, who crosschecked it during his lifetime. Not one word of its 114 Surahs, has been changed over the centuries, so that the Quran is in every detail the unique and miraculous text which was revealed to Muhammad (peace be upon him )  fourteen centuries ago;
What is the Quran about ?;The Quran, the last revealed Word of God, is the prime source of every Muslim's faith and practice. It deals with all the subjects which concern us as human beings: wisdom, doctrine, worship, and law, but its basic theme is the relationship between God and His creatures. At the same time, it provides guidelines for a just society, proper human conduct and an equitable economic system;
What are the contents of Quran?;The Quran, the last revealed Word of God, is the prime source of every Muslim's faith and practice. It deals with all the subjects which concern us as human beings: wisdom, doctrine, worship, and law, but its basic theme is the relationship between God and His creatures. At the same time, it provides guidelines for a just society, proper human conduct and an equitable economic system;
 What is the purpose the Quran serves?;The Quran, the last revealed Word of God, is the prime source of every Muslim's faith and practice. It deals with all the subjects which concern us as human beings: wisdom, doctrine, worship, and law, but its basic theme is the relationship between God and His creatures. At the same time, it provides guidelines for a just society, proper human conduct and an equitable economic system;
Are there any other sacred sources? what are they ? ; Yes, the Sunnah, the practice and example of the Prophet (peace be upon him ) , is the second authority for Muslims. A Hadith is a reliably transmitted report of what the Prophet (peace be upon him )  said, did, or approved. Belief in the Sunnah is part of the Islamic faith. Examples of the Prophet's sayings The Prophet (peace be upon him )  said: 'God has no mercy on one who has no mercy for others.' 'None of you truly believes until he wishes for his brother what he wishes for himself.' 'Powerful is not he who knocks the other down, indeed powerful is he who controls himself in a fit of anger.' (From the Hadith collections of Bukhari, Muslim, Tirmidhi and Baihaqi. ) ;
 Are there other sacred sources other than the Qur'an? what are they ?; Yes, the Sunnah, the practice and example of the Prophet (peace be upon him ) , is the second authority for Muslims. A Hadith is a reliably transmitted report of what the Prophet (peace be upon him )  said, did, or approved. Belief in the Sunnah is part of the Islamic faith. Examples of the Prophet's sayings The Prophet (peace be upon him )  said: 'God has no mercy on one who has no mercy for others.' 'None of you truly believes until he wishes for his brother what he wishes for himself.' 'Powerful is not he who knocks the other down, indeed powerful is he who controls himself in a fit of anger.' (From the Hadith collections of Bukhari, Muslim, Tirmidhi and Baihaqi. ) ;
Are there any other sacred sources besides the Qur'an? name them?; Yes, the Sunnah, the practice and example of the Prophet (peace be upon him ) , is the second authority for Muslims. A Hadith is a reliably transmitted report of what the Prophet (peace be upon him )  said, did, or approved. Belief in the Sunnah is part of the Islamic faith. Examples of the Prophet's sayings The Prophet (peace be upon him )  said: 'God has no mercy on one who has no mercy for others.' 'None of you truly believes until he wishes for his brother what he wishes for himself.' 'Powerful is not he who knocks the other down, indeed powerful is he who controls himself in a fit of anger.' (From the Hadith collections of Bukhari, Muslim, Tirmidhi and Baihaqi. ) ;
Who is Jesus to us ?; Jesus (peace be upon him )  is a true prophet, sent by Allah like Moses, Abraham, Lot, Noah, Jonah, Joseph, etc (peace be upon them ) ;
Jesus was mentioned in Islam, Who is he?; Jesus (peace be upon him )  is a true prophet, sent by Allah like Moses, Abraham, Lot, Noah, Jonah, Joseph, etc (peace be upon them ) ;
Who are the parents of Jesus ( peace be upon him )  ?; Jesus is the son of Virgin Mary and he had no father. Allah created Jesus ;
 Who are Jesus's parents ?  ; Jesus is the son of Virgin Mary and he had no father. Allah created Jesus ;
Are there any signs for the day of Judgment?;To name a few: 1- Objects will begin to talk. 2- There will be much killing, the killer won't know why he killed, and the guy that was killed won't know why he was killed. 3- The Antichrist will come. 4- Prophet Jesus son of Mary will return. 5- Gog and Magog will be set free. 6- The sun will rise from the west (after this sign there can be no more repentance ) .;
 Are there signs for the day of Judgment? Name some of them? ;To name a few: 1- Objects will begin to talk. 2- There will be much killing, the killer won't know why he killed, and the guy that was killed won't know why he was killed. 3- The Antichrist will come. 4- Prophet Jesus son of Mary will return. 5- Gog and Magog will be set free. 6- The sun will rise from the west (after this sign there can be no more repentance ) .;
Do we have free will ?; Yes, of course. Allah does not punish us for something we did not do on our own. But at the same time, our will is not inspired of Allah's will. We cannot do anything if Allah does not allow it. In other words nothing goes on in Allah's kingdom without His will;
God’s love for humanity is a central theme in many religions. Are there similar teachings in Islam ?;We believe that God’s love for humanity is indeed central to our faith. The Quran mentions God’s compassion and mercy 192 times, as opposed to God’s wrath, which is mentioned only 17 times. Two of God’s main attributes are the “Compassionate” and the “Merciful.” Both of these names denote God’s love and care for all creation. These are the two most often mentioned names of God, since all but one of the 114 chapters in the Quran begin with “In the name of God, the Compassionate, the Merciful.” The Quran cites 99 different names or attributes of God, many of which also emphasize these characteristics, including “the Loving,” “the Giving,” “the Forgiving,” and “the Kind.”;
Does God love the Muslim nation as his love for humanity in many religions? give some examples for God's love for humanity in Isalm?;We believe that God’s love for humanity is indeed central to our faith. The Quran mentions God’s compassion and mercy 192 times, as opposed to God’s wrath, which is mentioned only 17 times. Two of God’s main attributes are the “Compassionate” and the “Merciful.” Both of these names denote God’s love and care for all creation. These are the two most often mentioned names of God, since all but one of the 114 chapters in the Quran begin with “In the name of God, the Compassionate, the Merciful.” The Quran cites 99 different names or attributes of God, many of which also emphasize these characteristics, including “the Loving,” “the Giving,” “the Forgiving,” and “the Kind.”;
What do Muslims believe about angels ?;Angels are mentioned many times in the Quran and hadith (prophetic sayings ) . Unlike humans, angels are described as not possessing free will but as being by nature assigned to specific duties. Two of the most prominent angels mentioned by name in the Quran are Gabriel (Jibril )  and Michael (Mikhail ) . Gabriel is the angel of revelation and Michael is the angel of compassion;
what is the discription of Angels in Islam ? ;Angels are mentioned many times in the Quran and hadith (prophetic sayings ) . Unlike humans, angels are described as not possessing free will but as being by nature assigned to specific duties. Two of the most prominent angels mentioned by name in the Quran are Gabriel (Jibril )  and Michael (Mikhail ) . Gabriel is the angel of revelation and Michael is the angel of compassion;
What are Islam believes about Angels  ?;Angels are mentioned many times in the Quran and hadith (prophetic sayings ) . Unlike humans, angels are described as not possessing free will but as being by nature assigned to specific duties. Two of the most prominent angels mentioned by name in the Quran are Gabriel (Jibril )  and Michael (Mikhail ) . Gabriel is the angel of revelation and Michael is the angel of compassion;
how does Islam describe Angels ? ;Angels are mentioned many times in the Quran and hadith (prophetic sayings ) . Unlike humans, angels are described as not possessing free will but as being by nature assigned to specific duties. Two of the most prominent angels mentioned by name in the Quran are Gabriel (Jibril )  and Michael (Mikhail ) . Gabriel is the angel of revelation and Michael is the angel of compassion;
What is Satan ?                                                                                                                                                  ;Satan (Shaytan in Arabic )  is believed to be a third type of creation, in addition to humans and angels, known as a “jinn.” Humans are said to have been made from clay, angels from light, and jinn from fire. While the Quran teaches that some jinn are good and submit to God, it states that others, such as Iblis or Shaytan (Satan ) , try to tempt people to do evil, as in the belief about Satan in traditional Christian theology;
